CL_INS_1,450_5,4583_3
START_CORE450-:U_CORE449+,5,"E00001,E00003,E00004,E00005,E00033"
START_CORE450-:5502-:5503+:4590+:4589+:4588+:4587+:4586+:4585-:4584+:STOP_CORE4583-,4,"E00002,E00032,E00034,E00035"
START_CORE450-,1,E00031
START_CORE4583+:6815-:6816-:6817-:6818-:6819-:8754+:8753+:8752+:8751-:8750-:8749-:8748+:8747+:8746+:6560+:8745-:8744+:8743+:8742-,1,E00033
START_CORE4583+:6815-:6816-:6817-:6818-:6819-:6820+:6821+:6822+:6823+:6824-:6825+:6826+:6827-:6828-:6829-:6830+:6831+:6832+:4916-:6833-:4914+:4913+:4912+:4911+:4910-:4909+:4908-:4907-:2471+:2470+:2469+:2468-:2467+:2500+:2501+:4903-:U_CORE41-,1,E00004
START_CORE4583+:6815-,1,E00031
START_CORE4583+:4584-:4585+:4586-:4587-:4588-:4589-:4590-:4591-:U_CORE4592-,2,"E00001,E00005"
START_CORE4583+:4584-:4585+:4586-:4587-:4588-:4589-:4590-:4591-:6190+:6191+:U_CORE4592-,1,E00003
CL_INS_2,531_3,534_3
START_CORE531+:532+:533+:STOP_CORE534-,1,E00001
START_CORE531+:STOP_CORE534-,5,"E00003,E00004,E00005,E00031,E00033"
START_CORE531+:533+:STOP_CORE534-,4,"E00002,E00032,E00034,E00035"
CL_INS_3,534_5,535_3
START_CORE534-:STOP_CORE535-,7,"E00001,E00002,E00005,E00031,E00032,E00034,E00035"
START_CORE534-:5821-:5822-:5823+:STOP_CORE535-,1,E00003
START_CORE534-:5821-:7166-:7165-:7164-:7163-:5823+:STOP_CORE535-,2,"E00004,E00033"
CL_INS_4,562_5,568_3
START_CORE562-:563-:565-:566+:567-:STOP_CORE568-,1,E00003
START_CORE562-:563-:564-:565-:566+:567-:STOP_CORE568-,3,"E00001,E00004,E00031"
START_CORE562-:STOP_CORE568-,5,"E00002,E00005,E00032,E00034,E00035"
START_CORE562-:564-:565-:566+:567-:STOP_CORE568-,1,E00033
CL_INS_5,569_5,570_3
START_CORE569-:STOP_CORE570-,5,"E00001,E00004,E00005,E00031,E00033"
START_CORE569-:5501+:5500+:5499+:5498+:STOP_CORE570-,4,"E00002,E00032,E00034,E00035"
START_CORE569-:5500+:5499+:5498+:STOP_CORE570-,1,E00003
CL_INS_6,587_5,590_3
START_CORE587-:588-:589-:STOP_CORE590-,2,"E00001,E00005"
START_CORE587-:588-:STOP_CORE590-,4,"E00002,E00032,E00034,E00035"
START_CORE587-:STOP_CORE590-,4,"E00003,E00004,E00031,E00033"
CL_INS_7,593_3,631_3
