cluster_id	protein name	centroid genome	centroid locus	role_ids	frameshift	E00001	E00002	E00003	E00004	E00005	E00031	E00032	E00033	E00034	E00035
1	transposase	E00002	LI63_RS00295		FS	LI62_RS00005	LI63_RS00295	LI64_RS22405	LI65_RS24545	LI66_RS24380		SR75_RS21995		SR68_RS19635	SR69_RS18380
2	Tn3 transposase DDE domain protein	E00001	LI62_RS00010			LI62_RS00010		LI64_RS22400		LI66_RS24375					
3	single-stranded DNA-binding protein	E00001	LI62_RS00015			LI62_RS00015		LI64_RS22395							
4	transglycosylase	E00001	LI62_RS00020			LI62_RS00020		LI64_RS22390		LI66_RS24340					
5	pilus protein PilL	E00001	LI62_RS00025			LI62_RS00025		LI64_RS22385		LI66_RS24330					
6	bacterial conjugation TrbI-like protein	E00001	LI62_RS00030			LI62_RS00030		LI64_RS22380		LI66_RS24325					
7	conjugal transfer protein	E00001	LI62_RS00035			LI62_RS00035		LI64_RS22375		LI66_RS24320					
8	VirB8 protein	E00001	LI62_RS00040			LI62_RS00040		LI64_RS22370		LI66_RS24315					
9	TrbL/VirB6 plasmid conjugal transfer protein	E00001	LI62_RS00045			LI62_RS00045		LI64_RS22365		LI66_RS24310					
10	hypothetical protein	E00001	LI62_RS00050			LI62_RS00050		LI64_RS22360		LI66_RS24305					
11	hypothetical protein	E00001	LI62_RS00055			LI62_RS00055		LI64_RS22355		LI66_RS24300					
12	ATPase AAA	E00001	LI62_RS00060			LI62_RS00060		LI64_RS22350		LI66_RS24295					
13	hypothetical protein	E00001	LI62_RS00065			LI62_RS00065		LI64_RS22590		LI66_RS24290					
14	hypothetical protein	E00001	LI62_RS00070			LI62_RS00070		LI64_RS22585		LI66_RS24285					
15	hypothetical protein	E00001	LI62_RS00075			LI62_RS00075		LI64_RS22580		LI66_RS24280					
16	type II/IV secretion system protein	E00001	LI62_RS00080			LI62_RS00080		LI64_RS22575		LI66_RS24275					
17	hypothetical protein	E00001	LI62_RS00085			LI62_RS00085		LI64_RS22570		LI66_RS24270					
18	hypothetical protein	E00001	LI62_RS00090			LI62_RS00090		LI64_RS22565		LI66_RS24265					
19	ParB-like protein	E00001	LI62_RS00095			LI62_RS00095		LI64_RS22560		LI66_RS24260					
20	hypothetical protein	E00001	LI62_RS00100			LI62_RS00100		LI64_RS22555		LI66_RS24255					
21	hypothetical protein	E00001	LI62_RS00105			LI62_RS00105		LI64_RS22550		LI66_RS24250					
22	klcA	E00001	LI62_RS00110			LI62_RS00110		LI64_RS22545		LI66_RS24245					
23	hypothetical protein	E00001	LI62_RS00115			LI62_RS00115		LI64_RS22540		LI66_RS24240					
24	plasmid stablization protein ParB	E00001	LI62_RS00120			LI62_RS00120		LI64_RS22535		LI66_RS24235					
25	post-segregation antitoxin CcdA	E00001	LI62_RS00125			LI62_RS00125		LI64_RS22530		LI66_RS24230					
26	ccdB family protein	E00001	LI62_RS00130			LI62_RS00130		LI64_RS22525		LI66_RS24225					
